question,answer
This is a test question?,That is correct.
Hvilken måned kommer etter mars?,April
Hvilken farge er vanligst å dekorere med til påske i Norge?,Gul
Hvor smører man Swix V40 Blå Extra?,Under skiene
Hvilket stoff er snø laget av?,Vann
Hva heter tallstørrelsen som sier hvor sterk en solkrem er?,Solfaktor
Hvilken vei leser man løsningsordet i hver episode av «Påskenøtter» på NRK?,Nedover
"Hva kalles lubne, pelsdekte blomstersamlinger hos selje og andre arter i samme slekt?",Gåsunger
I «Påskelabyrinten» hører vi stadig dialektspørsmålet «Kor ska vi …»,«… reis hen?»
Hvem er det som holder Jesu døde kropp på kunstverker kalt pietà?,"Maria, Jesu mor"
"Hvem komponerte «Johannespasjonen» og «Matteuspasjonen», begge fra 1720-tallet?",J.S. Bach
"Hva heter den farligste typen UV-stråling, den som atmosfæren stort sett absorberer?",UVC
Påskeliljekronbladene er sammenvokst. Hvor mange begerblad stikker ut bak?,Seks
Hvilken vanlig prydplante til påske har navn etter soleieslekten på latin?,Ranunkel
"Hva heter byen i «Detektivbyrå nr. 2», med navn etter en virkelig krimforfatter?",Elvestad
Hvem spiller Jesus i filmen «The Passion of the Christ» (2004)?,Jim Caviezel
"Hvem, som har fått Rivertonprisen tre ganger, er kjent for å ikke ha en fast detektiv?",Torkil Damhaug
"Hvilket område har trioen Harlem, Molde og Unneberg skrevet flere turbøker om?",Oslomarka
"Hvilken bølgelengde har gult lys, sånn omtrent?",560–590 nanometer
Hvilket alkaloid i bl.a. påskeliljer kan dempe symptomene ved Alzheimers sykdom?,Galantamin
I hvilken film fra 2016 leter en soldat (spilt av Joseph Fiennes) etter Jesu kropp?,«Risen»
Hva er et annet vanlig navn på blodappelsin?,Rød appelsin
"Hvor ofte skal du vite hvor du er, ifølge fjellvettregel nr. 7?",Alltid
På hvilken av disse butikkene er det vanlig å kjøpe påskeliljer?,Floriss
Sett inn ordet som mangler: Forbausede folk kan si «Nå står ikke _____ til påske!»,Verden
Påsken er til minne om Jesu død og oppstandelse – i hvilken by?,Jerusalem
"Hva kaller vi appelsiner, klementiner og andre frukter i den samme slekten?",Sitrusfrukter
Hvilken bokstav i fargemodellen CMYK representerer gul?,Y
"Hvem eide graven som han gravla Jesus i, ifølge Bibelen?",Josef fra Arimatea
"Hva heter den fjellvettløse figuren til Åsleik Engmark, som dukket opp i 1989?",Severin Suveren
Hva slags lyriker har Arne Paasche Aasen særlig blitt karakterisert som?,Arbeiderdikter
Om vi setter 1. påskedag som dag nummer 1 er 1. pinsedag dag nummer …,50
Hva er Hubbard og Ross 308 eksempler på?,Kyllingraser
"Hvilken av disse er en fellesnevner for dam og Othello, men ikke sjakk?",Svart begynner
Hva heter bladet som kaller seg «Norges største og eldste magasin om hytter»?,Hytteliv
Hvilken av disse er ikke et alternativt navn på påskeliljefamilien?,Liljefamilien
